movieId,movieName,Date,Director,Actor,Length,Country
343667,流浪猫鲍勃,2018-11-02,罗杰·斯波蒂斯伍德,猫鲍勃、露塔·格德米纳斯、卢克·崔德威、罗杰·斯波蒂斯伍德,103.0,英国
1216326,你好，之华,2018-11-09,岩井俊二,周迅、秦昊、杜江、张子枫,114.0,中国大陆
1238706,你美丽了我的人生,2018-11-02,阎清秀,玉米提、古丽米娜·麦麦提、金星、阎清秀,90.0,中国大陆
344236,京城81号2,2017-07-06,钱人豪,张智霖、梅婷、钟欣潼、耿乐,96.0,中国大陆
1207577,黑暗迷宫,2018-10-31,温河,聂远、葛天、杜奕衡、初俊辰,97.0,中国大陆
1238695,瞳灵公馆,2018-11-02,张明伟,苑琼丹、景岗山、文熙、胡蓉蓉,85.0,中国大陆
1207335,滴答屋,2018-11-01,伊莱·罗斯,杰克·布莱克、凯特·布兰切特、欧文·瓦卡罗、芮妮·戈兹贝里,104.0,美国
78490,冰封侠:时空行者,2018-11-02,叶伟民,甄子丹、黄圣依、王宝强、任达华,104.0,"中国大陆,中国香港"
346015,胡桃夹子和四个王国,2018-11-02,拉斯·霍尔斯道姆,麦肯吉·弗依、摩根·弗里曼、凯拉·奈特莉、拉斯·霍尔斯道姆,99.0,美国
1238758,我的冤家是条狗,2018-11-09,曼迪·弗莱切,比蒂·埃德蒙森、艾德·斯克林、汤姆·班尼特、珍妮弗·桑德斯,95.0,英国
345493,飓风奇劫,2018-11-02,罗伯·科恩,托比·凯贝尔、玛姬·格蕾斯、瑞恩·柯万腾、梅丽莎·博洛纳,103.0,美国
1209068,台仙魔咒,2018-12-18,宋睿,罗翔、刘书含、叶常清、曾漪莲,81.0,中国大陆
1236547,八仙,2018-11-03,曹博,,87.0,中国大陆
1225632,名侦探柯南：零的执行人,2018-11-09,立川让,高山南、山口胜平、山崎和佳奈、小山力也,110.0,日本
42964,毒液：致命守护者,2018-11-09,鲁本·弗雷斯彻,汤姆·哈迪、米歇尔·威廉姆斯、里兹·阿迈德、斯科特·黑兹,107.0,美国
1136568,破梦游戏,2018-11-09,韩琰,陈都灵、宋威龙、张宥浩、盖玥希,104.0,中国大陆
1194411,三国杀·幻,2018-11-09,吕柯憬,郑伊健、贾青、于荣光、谢天华,94.0,中国大陆
1206209,开学悸,2018-11-09,刘鼎业,秦语、曾淇、赵艺、刘鼎业,86.0,中国大陆
346394,地层深处,2018-11-09,宋占涛,,90.0,中国大陆
1230373,遥远的他,2018-09-06,李嘉华,张垚祎、陈熙明、柳杨,85.0,中国大陆
1234403,恐龙王,2018-11-10,施雅雅,王衡、吕佩玉、孙晔、穆雪婷,95.0,中国大陆
1229753,两个俏公主,2018-11-10,薛玉峥,朱祎、马正阳、赵欣,89.0,中国大陆
1210955,产科男生,2018-11-02,梁立新,罗翔、苏小妹、王双琥、张佳浩,90.0,中国大陆
1220437,梦境之源,2018-11-16,柳珂,陈志朋、颜丹晨、李彧、安琥,90.0,中国大陆
344992,皇帝的新装之圣诞大明星,2016-01-01,李霞,叶芳、丁妍、王雪沁,78.0,中国大陆
1208282,无名之辈,2018-11-16,饶晓志,陈建斌、任素汐、潘斌龙、章宇,108.0,中国大陆
577564,神奇动物：格林德沃之罪,2018-11-16,大卫·叶茨,埃迪·雷德梅恩、凯瑟琳·沃特森、艾莉森·萨多尔、约翰尼·德普,128.0,"美国,英国"
1220172,有五个姐姐的我就注定要单身了啊,2018-11-16,苏文圣,蔡凡熙、项婕如、谢金燕、刘奕儿,97.0,中国台湾
1238946,最后一公里,2018-11-16,李伟,李彦锋、王雨晗、徐晨耀、钟卫华,104.0,中国大陆
1238780,锁,2018-11-16,许振华,张燕妮、高海鹏、马继、许振华,84.0,中国大陆
341213,无敌破坏王2：大闹互联网,2018-11-23,瑞奇·摩尔,约翰·C·赖利、萨拉·西尔弗曼、克里斯汀·贝尔、瑞奇·摩尔,113.0,美国
1212840,记忆折叠,2018-11-16,张博维,张赫、曲尼次仁、张博维、陈鹏翱,85.0,中国大陆
1233373,超时空大冒险,2018-12-01,李宝坤,解丽丽、王祺、江敏,75.0,中国大陆
1212293,奶奶的家,2018-11-23,陆诗雨,刘未晞、贾程凯、周金凤、宁文彤,93.0,中国大陆
1239048,追宝狂想曲,2018-11-16,朱维俐,彭波、金楷杰、王子子、汤镇宗,86.0,中国大陆
1238696,生活万岁,2018-11-27,程工,李安甫、胡兆翠、康昕、程工,94.0,中国大陆
1208113,嘉年华,2017-11-24,文晏,文淇、周美君、史可、耿乐,107.0,"中国大陆,法国"
1236504,正正的世界,2018-11-20,孙杰,宁宗元达、时晓飞、田媛、刘文曲,95.0,中国大陆
1208148,中国蓝盔,2018-11-23,宁海强,徐洪浩、刘一龙、彭士腾、宁海强,96.0,中国大陆
246057,烈日灼心,2015-08-27,曹保平,邓超、段奕宏、郭涛、王珞丹,139.0,中国大陆
1207271,憨豆特工3,2018-11-23,大卫·科尔,罗温·艾金森、本·米勒、欧嘉·柯瑞兰寇、杰克·莱西,89.0,"法国,美国,英国"
1229497,爱在归来那一天,2018-11-22,杨大田,董晨、李岷城、刘艺、王双宝,92.0,中国大陆
666793,恐怖快递,2018-11-23,杨振豪,李晨浩、汤晶媚、姚一奇、任娇,83.0,中国大陆
257664,克隆人,2018-11-23,杰弗利·纳赫马诺夫,基努·里维斯、爱丽丝·伊芙、艾米丽·阿琳·林德、托马斯·米德蒂奇,107.0,"英国,中国大陆,波多黎各,美国"
1213097,忠犬大营救,2018-11-23,张帆,靓仔、小金、刘晓晔、纪帅,90.0,中国大陆
1198930,旗袍先生,2018-11-23,王择谚,李立群、成琪、郭超、杨大鹏,104.0,中国大陆
78480,狗十三,2018-12-07,曹保平,张雪迎、果靖霖、智一桐、周珍,121.0,中国大陆
1208500,超萌特攻,2018-11-24,许美君,董立范、年丁旭、赵施玥珊、吴明洁,93.0,中国大陆
1208647,进击的男孩,2018-12-07,许添,李艾、庞瀚辰、包文婧、李林,94.0,中国大陆
1238843,一百年很长吗,2018-12-01,萧寒,黄忠坚、张雪菲、阿合特,106.0,中国大陆
1198455,二十岁,2018-11-30,刘畅,于文文、屈楚萧、孔垂楠、叶子诚,98.0,中国大陆
1221035,老爸102岁,2018-11-30,奥米史·舒克拉,阿米达普·巴强、里希·卡普尔、达尔曼德拉·吉尔、吉米特·特里韦迪,102.0,印度
337058,不期而遇,2017-05-19,陈卓,张雨绮、张亮、王少雍、冷中易,94.0,"中国大陆,美国"
1165276,摘金奇缘,2018-11-30,朱浩伟,吴恬敏、杨紫琼、亨利·戈尔丁、奥卡菲娜,121.0,美国
1215919,印度合伙人,2018-12-14,R·巴尔基,阿克谢·库玛尔、拉迪卡·艾普特、索娜姆·卡普尔、吉欧迪·萨哈希,133.0,印度
337129,亡命救赎,2018-11-30,让-弗朗索瓦·雷切,梅尔·吉布森、艾琳·莫里亚蒂、迭戈·卢纳、伊丽莎白·霍尔姆,84.0,法国
1235456,冒牌搭档,2018-11-30,林子聪,林子聪、陈浩民、林雪、林子聪,86.0,中国大陆
1219203,在天堂等我,2018-11-30,王军,李滨、于非非、毛孩、李梦男,129.0,中国大陆
337251,铁甲战神,2018-11-30,乔·米亚,李·佩斯、贝纳尼丝·玛尔洛、肯尼思·霍、杰森·弗莱明,87.0,英国
1213729,请你记住我,2018-11-30,彭小莲,冯文娟、贾一平、黄宗英、徐才根,96.0,中国大陆
1200265,叶问外传：张天志,2018-12-21,袁和平,张晋、戴夫·巴蒂斯塔、柳岩、杨紫琼,107.0,"中国大陆,中国香港"
1220926,33号公路,2018-11-30,史强,贡米、郭子瑜、李封乾、奇凌,98.0,中国大陆
1238886,奇幻梦之旅,2018-11-30,高旭,宋睿、高旭、明星、温浩哲,90.0,中国大陆
341753,三只小猪2,2017-05-27,刘炜,王晓彤、李晔、洪海天、严丽祯,80.0,中国大陆
1241636,大唐风云2,2018-12-01,杨广福,杨进、张立志,89.0,中国大陆
1246221,天渠,2018-11-30,柏麟,侯煜、王华圳昱、褚楚、郑强,93.0,中国大陆
249342,海王,2018-12-07,温子仁,杰森·莫玛、艾梅柏·希尔德、妮可·基德曼、帕特里克·威尔森,137.0,美国
1216374,同名男子,2018-12-04,何力,唐以诺、杨金赐、张春、姚星竹,91.0,中国大陆
1183621,大烟炮！一千八！,2018-12-04,于兰,于兰、赵滨、樊蕊,92.0,中国大陆
337896,冥王星时刻,2018-12-15,章明,王学兵、刘丹、曾美慧孜、母其弥雅,110.0,中国大陆
1220969,惊涛飓浪,2018-12-07,巴塔萨·科马库,谢琳·伍德蕾、山姆·克拉弗林、伊丽莎白·霍桑、Zac Beresford,96.0,美国
1233357,爱不可及,2018-12-07,胡野秋,陈育臣、张颖冰、祝涛、王嘉莹,93.0,中国大陆
1219776,网络谜踪,2018-12-14,阿尼什·查甘蒂,约翰·赵、米切尔·拉、黛博拉·梅辛、约瑟夫·李,102.0,"美国,俄罗斯"
123,龙猫,2018-12-14,宫崎骏,秦岚、糸井重里、岛本须美、千叶繁,86.0,日本
1239144,左手右手,2018-12-07,张万一,马境、李修蒙、张嘉、任伟,95.0,中国大陆
1227795,云上日出,2018-12-11,熊玮,荣梓杉、关亚军、丁宁、郭紫铭,102.0,中国大陆
1243911,春天的马拉松,2018-12-14,夏晓昀,张铎、郑昊、杨立新、徐百卉,90.0,中国大陆
346465,绿毛怪格林奇,2018-12-14,亚罗·切尼,本尼迪克特·康伯巴奇、卡梅伦·丝蕾、拉什达·琼斯、亚罗·切尼,85.0,美国
1246536,闽宁镇,2018-12-06,董玲,姬他、王洛勇、张圣岳、邵老五,115.0,中国大陆
1228750,照相师,2018-12-12,张唯,谢钢、刘牧、康磊、涓子,112.0,中国大陆
1228046,黄大年,2018-12-12,成科,张秋歌、史可、哈斯高娃、李卓琳,89.0,中国大陆
1229950,午夜整容室,2018-12-14,曹志鹏,赖晶晶、王李丹妮、陈垚、潘彦妃,82.0,中国大陆
1239646,破天荒,2018-12-14,罗金耀,晋松、张恒睿、A娜、范德·麦克劳德,90.0,中国大陆
1242461,来日方长,2018-12-14,刘德强,孙聪、李明、于又川、铁牛,87.0,中国大陆
1234419,堡藏,2018-12-14,刘峰,安赛龙、西塞儿·拉斯姆森、甘林熠、刘峰,93.0,中国大陆
1212512,蜘蛛侠：平行宇宙,2018-12-21,鲍勃·佩尔西凯蒂,彭昱畅、杰克·M·约翰森、鲍勃·佩尔西凯蒂、彼得·拉姆齐,116.0,美国
1216315,轻轻握住你的手,2018-12-14,张健伟,郭冬冬、马藜、李保民、龚诗瑶,100.0,中国大陆
1206838,淡蓝琥珀,2018-12-17,周劼,王真儿、吕聿来、耿乐、张瑶,97.0,中国大陆
1229915,中国合伙人2,2018-12-18,刘亚当,赵立新、凌潇肃、王嘉、董琦,123.0,中国大陆
1221348,又是一年三月三,2018-12-20,马会雷,刘之冰、颜丹晨、王志刚、孙亮,120.0,中国大陆
1217270,片警宝音,2018-12-19,杨瑾,宝音尼木胡、巴德玛、陈维涵、塔娜,97.0,中国大陆
342165,武林怪兽,2018-12-21,刘伟强,古天乐、陈学冬、郭碧婷、包贝尔,104.0,"中国大陆,中国香港"
343866,超级快递,2016-12-02,宋啸,陈赫、宋智孝、大卫·贝尔、肖央,90.0,"中国大陆,韩国,法国"
1198735,辛巴达与美人鱼公主,2017-01-07,李霞,杨进、唐泽宗、吴凡、王雪沁,80.0,中国大陆
344649,天气预爆,2018-12-21,肖央,肖央、杜鹃、常远、小沈阳,104.0,中国大陆
1242941,夜魔奇案,2018-12-21,邵大卫,乔乔、何若鹤、许政国、马江德,104.0,中国大陆
1227005,侠路相逢,2019-10-18,邵亚峰,姜武、邵兵、姚娆、王晟权,96.0,中国大陆
1229697,四个春天,2019-01-04,陆庆屹,陆运坤、李桂贤、陆庆伟、陆庆松,105.0,中国大陆
